entity_type,image_id,image_filename,candidate_metadata_id_by_sequence,candidate_role,candidate_opera,candidate_original_face_type,match_status,reason
image,017,opera-02-017-s.jpg,017,牛邈,闹昆阳,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,018,opera-02-018-s.jpg,018,姚刚,黄一刀,十字门脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,019,opera-02-019-s.jpg,019,苏献,取洛阳,六分脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,020,opera-02-020-s.jpg,020,马武,取洛阳,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,021,opera-02-021-s.jpg,021,张飞,长坂坡,十字门脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,022,opera-02-022-s.jpg,022,关羽,战长沙,整脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,023,opera-02-023-s.jpg,023,庞统,柴桑口,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,024,opera-02-024-s.jpg,024,周仓,单刀会,元宝脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,025,opera-03-025-s.jpg,025,夏侯惇,战宛城,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,026,opera-03-026-s.jpg,026,夏侯渊,定军山,十字门脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,027,opera-03-027-s.jpg,027,许褚,战宛城,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,028,opera-03-028-s.jpg,028,曹洪,战宛城,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,029,opera-03-029-s.jpg,029,张郃,长坂坡,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,030,opera-03-030-s.jpg,030,徐晃,阳平关,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,031,opera-03-031-s.jpg,031,孟坦,过五关,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,032,opera-03-032-s.jpg,032,蔡阳,古城会,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,033,opera-03-033-s.jpg,033,黄盖,群英会,六分脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,034,opera-03-034-s.jpg,034,孙权,甘露寺,整脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,035,opera-03-035-s.jpg,035,吕蒙,走麦城,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,036,opera-03-036-s.jpg,036,太史慈,战合肥,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,037,opera-04-037-s.jpg,037,蒋钦,甘露寺,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,038,opera-04-038-s.jpg,038,凌统,甘宁百骑劫魏营,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,039,opera-04-039-s.jpg,039,周泰,连营寨,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,040,opera-04-040-s.jpg,040,周处,除三害,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,041,opera-04-041-s.jpg,041,秦英,乾坤带,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,042,opera-04-042-s.jpg,042,窦一虎,棋盘山,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,043,opera-04-043-s.jpg,043,薛刚,闹花灯,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,044,opera-04-044-s.jpg,044,苏宝同,界牌关,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,045,opera-04-045-s.jpg,045,薛葵,徐策跑城,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,046,opera-04-046-s.jpg,046,安殿宝,独木关,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,047,opera-04-047-s.jpg,047,巴兰,百花公主,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,048,opera-04-048-s.jpg,048,贺天龙,雁荡山,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,049,opera-05-049-s.jpg,049,郭子仪,满床笏,六分脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,050,opera-05-050-s.jpg,050,王彦章,双观星,象形脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,051,opera-05-051-s.jpg,051,周德威,珠帘寨,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,052,opera-05-052-s.jpg,052,余洪,竹林计,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,053,opera-05-053-s.jpg,053,郑恩,打龙棚,歪脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,054,opera-05-054-s.jpg,054,赵匡胤,斩黄袍,整脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,055,opera-05-055-s.jpg,055,呼延赞,龙虎斗,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,056,opera-05-056-s.jpg,056,崔子健,佘赛花,十字门脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,057,opera-05-057-s.jpg,057,钟离春,湘江会,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,058,opera-05-058-s.jpg,058,里克,蜜蜂计,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,059,opera-05-059-s.jpg,059,毛奔,五雷阵,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,060,opera-05-060-s.jpg,060,雷震子,攻潼关,象形脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,061,opera-06-061-s.jpg,061,魏绛,赵氏孤儿,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,062,opera-06-062-s.jpg,062,颍考叔,伐子都,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,063,opera-06-063-s.jpg,063,先蔑,摘缨会,十字门脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,064,opera-06-064-s.jpg,064,屠岸贾,赵氏孤儿,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,065,opera-06-065-s.jpg,065,王陵,陵母伏剑,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,066,opera-06-066-s.jpg,066,夏侯婴,,,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,067,opera-06-067-s.jpg,067,英布,霸王别姬,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,068,opera-06-068-s.jpg,068,项羽,霸王别姬,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,069,opera-06-069-s.jpg,069,彭越,霸王别姬,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,070,opera-06-070-s.jpg,070,吕马童,霸王别姬,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,071,opera-06-071-s.jpg,071,铫期,草桥关,十字门脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,072,opera-06-072-s.jpg,072,吴汉,长安闱,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,073,opera-07-073-s.jpg,073,魏延,战长沙,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,074,opera-07-074-s.jpg,074,孟达,走麦城,元宝脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,075,opera-07-075-s.jpg,075,严颜,过巴州,六分脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,076,opera-07-076-s.jpg,076,沙摩柯,连营寨,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,077,opera-07-077-s.jpg,077,姜维,铁笼山,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,078,opera-07-078-s.jpg,078,夏侯德,定军山,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,079,opera-07-079-s.jpg,079,张苞,连营寨,十字门脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,080,opera-07-080-s.jpg,080,邓艾,坛山谷,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,081,opera-07-081-s.jpg,081,孔秀,过五关,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,082,opera-07-082-s.jpg,082,秦琪,过五关,歪脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,083,opera-07-083-s.jpg,083,司马懿,失街亭,整脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,084,opera-07-084-s.jpg,084,蒋干,群英会,腰子脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,085,opera-08-085-s.jpg,085,司马师,红逼宫,十字门脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,086,opera-08-086-s.jpg,086,郭淮,铁笼山,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,087,opera-08-087-s.jpg,087,董卓,凤仪亭,整脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,088,opera-08-088-s.jpg,088,马谡,失街亭,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,089,opera-08-089-s.jpg,089,郭荣,草桥关,整脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,090,opera-08-090-s.jpg,090,王元,取洛阳,元宝脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,091,opera-08-091-s.jpg,091,须贾,赠绨袍,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,092,opera-08-092-s.jpg,092,专诸,鱼肠剑,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,093,opera-08-093-s.jpg,093,曹操,捉放曹,整脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,094,opera-08-094-s.jpg,094,典韦,战宛城,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,095,opera-08-095-s.jpg,095,贾华,甘露寺,白粉脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,096,opera-08-096-s.jpg,096,程普,凤凰二乔,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,097,opera-09-097-s.jpg,097,尉迟宝林,白良关,十字门脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,098,opera-09-098-s.jpg,098,程咬金,响马传,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,099,opera-09-099-s.jpg,099,单雄信,贾家楼,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,100,opera-09-100-s.jpg,100,尉迟恭,白良关,六分脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,101,opera-09-101-s.jpg,101,金甲,贾家楼,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,102,opera-09-102-s.jpg,102,童环,贾家楼,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,103,opera-09-103-s.jpg,103,李元霸,晋阳宫,象形脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,104,opera-09-104-s.jpg,104,李密,断密涧,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,105,opera-09-105-s.jpg,105,宇文成都,晋阳宫,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,106,opera-09-106-s.jpg,106,鲍赐安,龙潭镇,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,107,opera-09-107-s.jpg,107,黄胖,巴骆和,僧道脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,108,opera-09-108-s.jpg,108,猩猩胆,摩天岭,象形脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,109,opera-10-109-s.jpg,109,盖苏文,汾河湾,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,110,opera-10-110-s.jpg,110,巴杰,巴骆和,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,111,opera-10-111-s.jpg,111,朱温,雅观楼,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,112,opera-10-112-s.jpg,112,孟觉海,雅观楼,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,113,opera-10-113-s.jpg,113,高旺,牧虎关,十字门脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,114,opera-10-114-s.jpg,114,天庆王,金沙滩,整脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,115,opera-10-115-s.jpg,115,韩昌,雁门关,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,116,opera-10-116-s.jpg,116,白天佐,破洪州,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,117,opera-10-117-s.jpg,117,孟良,洪羊洞,十字门脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,118,opera-10-118-s.jpg,118,焦赞,三岔口,十字门脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,119,opera-10-119-s.jpg,119,杨延德,五台山,僧道脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,120,opera-10-120-s.jpg,120,杨延嗣,金沙滩,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,121,opera-11-121-s.jpg,121,杨林,车轮战,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,122,opera-11-122-s.jpg,122,辛文礼,霓虹关,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,123,opera-11-123-s.jpg,123,李克用,珠帘寨,六分脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,124,opera-11-124-s.jpg,124,胡里,巴骆和,,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,125,opera-11-125-s.jpg,125,巴若里,状元媒,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,126,opera-11-126-s.jpg,126,傅龙,状元媒,六分脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,127,opera-11-127-s.jpg,127,潘洪,清官册,整脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,128,opera-11-128-s.jpg,128,陶洪,打瓜园,角筝形脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,129,opera-11-129-s.jpg,129,包拯,铡美案,整脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,130,opera-11-130-s.jpg,130,赵虎,铡美案,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,131,opera-11-131-s.jpg,131,王朝,铡美案,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,132,opera-11-132-s.jpg,132,马汉,铡美案,元宝脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,133,opera-12-133-s.jpg,133,张天龙,双沙河,象形脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,134,opera-12-134-s.jpg,134,书童,盗银瓶,,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,135,opera-12-135-s.jpg,135,呼延庆,呼延庆打擂,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,136,opera-12-136-s.jpg,136,王文,杨家女将,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,137,opera-12-137-s.jpg,137,韩彰,花蝴蝶,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,138,opera-12-138-s.jpg,138,徐庆,花蝴蝶,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,139,opera-12-139-s.jpg,139,卢方,花蝴蝶,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,140,opera-12-140-s.jpg,140,蒋平,蒋平捞印,,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,141,opera-12-141-s.jpg,141,公孙胜,黄泥岗,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,142,opera-12-142-s.jpg,142,刘唐,浔阳楼,十字门脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,143,opera-12-143-s.jpg,143,晁盖,浔阳楼,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,144,opera-12-144-s.jpg,144,鲁智深,野猪林,僧道脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
