image_id,image_filename,metadata_id,role,opera,original_face_type,sequence_candidate_metadata_id,candidate_role,candidate_opera,candidate_original_face_type,match_method,match_confidence,match_status,evidence,image_width,image_height,metadata_width,metadata_height,dimension_match,image_aspect_ratio,metadata_aspect_ratio,aspect_ratio_delta,aspect_ratio_match,image_sha256
011,opera-01-011-s.jpg,unknown,,,,011,李刚,庆阳图,十字门脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=412x502; aspect_ratio_delta=0.0007171314741036827; network-expanded same hash=yes.",123,150,412,502,no,0.82,0.8207171314741036,0.0007171314741036827,yes_within_0.01,da33fce8d604b189dd79dd6582a198f3a4e823e80accea77a619f44d69c71489
012,opera-01-012-s.jpg,unknown,,,,012,廉颇,将相和,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=412x502; aspect_ratio_delta=0.0007171314741036827; network-expanded same hash=yes.",123,150,412,502,no,0.82,0.8207171314741036,0.0007171314741036827,yes_within_0.01,630272ee95305c5c3c0dc54cb7858b62082bcc6f13074a15af39bd3552947a38
013,opera-02-013-s.jpg,unknown,,,,013,伊立,黄金台,太监脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=412x502; aspect_ratio_delta=0.0007171314741036827; network-expanded same hash=yes.",123,150,412,502,no,0.82,0.8207171314741036,0.0007171314741036827,yes_within_0.01,bf9b6395e6c5119c71db3ab0ab9ac0161899cd5164a26a3ef8919e45ac0ec977
014,opera-02-014-s.jpg,unknown,,,,014,胡伤,将相和,花三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=412x502; aspect_ratio_delta=0.0007171314741036827; network-expanded same hash=yes.",123,150,412,502,no,0.82,0.8207171314741036,0.0007171314741036827,yes_within_0.01,981b7a724cb4c1ddb7e7c35b58a43683b50697b7816c25afc1b0ea85cc027d5a
015,opera-02-015-s.jpg,unknown,,,,015,荆轲,荆轲传,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=412x502; aspect_ratio_delta=0.0007171314741036827; network-expanded same hash=yes.",123,150,412,502,no,0.82,0.8207171314741036,0.0007171314741036827,yes_within_0.01,63626bd6563a1f1768f32d6c704664f964ab837d264eed5618f32107a8469701
016,opera-02-016-s.jpg,unknown,,,,016,赵高,宇宙锋,整脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=412x502; aspect_ratio_delta=0.0007171314741036827; network-expanded same hash=yes.",123,150,412,502,no,0.82,0.8207171314741036,0.0007171314741036827,yes_within_0.01,66059b16f4b60b18083a69eac83c270d282ad3d91cbb02f1c7741b12811054d8
017,opera-02-017-s.jpg,unknown,,,,017,牛邈,闹昆阳,花三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=367x450; aspect_ratio_delta=0.004444444444444362; network-expanded same hash=yes.",123,150,367,450,no,0.82,0.8155555555555556,0.004444444444444362,yes_within_0.01,a3561997cb0ec84abae100c97275fef2e5ffbc8fe427f6c07ad3d6b902a928b2
018,opera-02-018-s.jpg,unknown,,,,018,姚刚,黄一刀,十字门脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x152; XLS field=365x450; aspect_ratio_delta=0.0019005811111111326; network-expanded same hash=yes.",123,152,365,450,no,0.80921053,0.8111111111111111,0.0019005811111111326,yes_within_0.01,5fe10f6ab6a6d78cf42cb8e341f359d518f7982d3a9120bd22899da88d3e2620
019,opera-02-019-s.jpg,unknown,,,,019,苏献,取洛阳,六分脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=368x450; aspect_ratio_delta=0.0022222222222221255; network-expanded same hash=yes.",123,150,368,450,no,0.82,0.8177777777777778,0.0022222222222221255,yes_within_0.01,0a430f12fe8a8fb9da6abd15a4b5e7483cbd5089e00853d609bff65847905565
020,opera-02-020-s.jpg,unknown,,,,020,马武,取洛阳,碎脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x152; XLS field=363x450; aspect_ratio_delta=0.0025438633333333405; network-expanded same hash=yes.",123,152,363,450,no,0.80921053,0.8066666666666666,0.0025438633333333405,yes_within_0.01,ab78df7ad9999de1caf8250f02f234717e4ecd8f89c39cf48f320bd834183185
021,opera-02-021-s.jpg,unknown,,,,021,张飞,长坂坡,十字门脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=369x450; aspect_ratio_delta=0.0; network-expanded same hash=yes.",123,150,369,450,no,0.82,0.82,0.0,yes_within_0.01,8722f7e4ecae3cd43124034d9e96297ec2aad6bb42dfccf48f27f813e7e72f1b
022,opera-02-022-s.jpg,unknown,,,,022,关羽,战长沙,整脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=88x110; XLS field=361x450; aspect_ratio_delta=0.0022222222222221255; network-expanded same hash=yes.",88,110,361,450,no,0.8,0.8022222222222222,0.0022222222222221255,yes_within_0.01,e8ef7fbfb021f7aae0d6cadfc705858420853f5e6536543011adfbb567d9147b
023,opera-02-023-s.jpg,unknown,,,,023,庞统,柴桑口,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=90x110; XLS field=368x450; aspect_ratio_delta=0.00040404222222212294; network-expanded same hash=yes.",90,110,368,450,no,0.81818182,0.8177777777777778,0.00040404222222212294,yes_within_0.01,772c1b7e7e4f20561f007d6bfd0d13c4bf7a9c95f71764fdf82679c9810f20da
024,opera-02-024-s.jpg,unknown,,,,024,周仓,单刀会,元宝脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=89x110; XLS field=364x450; aspect_ratio_delta=0.00020202111111111698; network-expanded same hash=yes.",89,110,364,450,no,0.80909091,0.8088888888888889,0.00020202111111111698,yes_within_0.01,88212207f49e2794671f5fbcb00479ab5de38e9ff6bb8b7d8d5e668918ff368a
025,opera-03-025-s.jpg,unknown,,,,025,夏侯惇,战宛城,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=90x110; XLS field=369x450; aspect_ratio_delta=0.0018181800000000026; network-expanded same hash=yes.",90,110,369,450,no,0.81818182,0.82,0.0018181800000000026,yes_within_0.01,af3a110cba04c97785fa342932e795dab9c36070314f53361421b9863accefd7
026,opera-03-026-s.jpg,unknown,,,,026,夏侯渊,定军山,十字门脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=92x110; XLS field=375x450; aspect_ratio_delta=0.0030303066666665934; network-expanded same hash=yes.",92,110,375,450,no,0.83636364,0.8333333333333334,0.0030303066666665934,yes_within_0.01,33de83a76f067dd742058294fd74fa3523c5648570e9ed69fabfececb4b3fcdd
027,opera-03-027-s.jpg,unknown,,,,027,许褚,战宛城,碎脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=88x110; XLS field=361x450; aspect_ratio_delta=0.0022222222222221255; network-expanded same hash=yes.",88,110,361,450,no,0.8,0.8022222222222222,0.0022222222222221255,yes_within_0.01,513d6da981902e51ec7b9dc1c486445ce11c4456ce6567e6e1505dd04e2a071a
028,opera-03-028-s.jpg,unknown,,,,028,曹洪,战宛城,花三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=88x110; XLS field=360x450; aspect_ratio_delta=0.0; network-expanded same hash=yes.",88,110,360,450,no,0.8,0.8,0.0,yes_within_0.01,d7f488522373c029149d0703720f289dcfe2497f6fae1b08021a2378137ebcd0
029,opera-03-029-s.jpg,unknown,,,,029,张郃,长坂坡,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=90x110; XLS field=369x450; aspect_ratio_delta=0.0018181800000000026; network-expanded same hash=yes.",90,110,369,450,no,0.81818182,0.82,0.0018181800000000026,yes_within_0.01,8ee0129b7d1d6fd8962c6e243112cab56989442ac47538873041efc65789a19d
030,opera-03-030-s.jpg,unknown,,,,030,徐晃,阳平关,花三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=90x110; XLS field=369x450; aspect_ratio_delta=0.0018181800000000026; network-expanded same hash=yes.",90,110,369,450,no,0.81818182,0.82,0.0018181800000000026,yes_within_0.01,61cd263aee22cbc46622b73238ae2687021a3026accb351b3e41be1f4cfb55f5
031,opera-03-031-s.jpg,unknown,,,,031,孟坦,过五关,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=89x110; XLS field=364x450; aspect_ratio_delta=0.00020202111111111698; network-expanded same hash=yes.",89,110,364,450,no,0.80909091,0.8088888888888889,0.00020202111111111698,yes_within_0.01,06524d1f1e6155253a0f2781eaecc3b114fd546e5a19bdfbb884c6f894b0421c
032,opera-03-032-s.jpg,unknown,,,,032,蔡阳,古城会,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=91x110; XLS field=373x450; aspect_ratio_delta=0.0016161588888888856; network-expanded same hash=yes.",91,110,373,450,no,0.82727273,0.8288888888888889,0.0016161588888888856,yes_within_0.01,e01e3f54177edfe0f2b0fde2c8d8ab0dcc1ee80f4888d5cff3411ab457c944ae
033,opera-03-033-s.jpg,unknown,,,,033,黄盖,群英会,六分脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=86x110; XLS field=407x512; aspect_ratio_delta=0.01310369499999997; network-expanded same hash=yes.",86,110,407,512,no,0.78181818,0.794921875,0.01310369499999997,no,e0a26f41a1726297a3e24b54dcec4a0e0c249a15039b2ff169b001eeae681917
034,opera-03-034-s.jpg,unknown,,,,034,孙权,甘露寺,整脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=94x110; XLS field=414x482; aspect_ratio_delta=0.0043757118257260474; network-expanded same hash=yes.",94,110,414,482,no,0.85454545,0.8589211618257261,0.0043757118257260474,yes_within_0.01,2be8310d0e6991409a37464465232733d26b68cb8406d1ba271ecadeff429748
035,opera-03-035-s.jpg,unknown,,,,035,吕蒙,走麦城,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=90x110; XLS field=421x512; aspect_ratio_delta=0.004083805000000051; network-expanded same hash=yes.",90,110,421,512,no,0.81818182,0.822265625,0.004083805000000051,yes_within_0.01,6f7cec255b65678d231a92a34428719131a1328d262dbe840d67c47eb0c803e0
036,opera-03-036-s.jpg,unknown,,,,036,太史慈,战合肥,碎脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=91x110; XLS field=425x512; aspect_ratio_delta=0.0028053949999999883; network-expanded same hash=yes.",91,110,425,512,no,0.82727273,0.830078125,0.0028053949999999883,yes_within_0.01,1af245e1608b6bd0a472745266fe516970c95da37bddd493de4ca6d21a4c37f7
037,opera-04-037-s.jpg,unknown,,,,037,蒋钦,甘露寺,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=89x110; XLS field=413x513; aspect_ratio_delta=0.004022683879142286; network-expanded same hash=yes.",89,110,413,513,no,0.80909091,0.8050682261208577,0.004022683879142286,yes_within_0.01,1c7e7cb74c6df22c756957b39bd090499ca76a9166c23cf4179cde3b9b7da69a
038,opera-04-038-s.jpg,unknown,,,,038,凌统,甘宁百骑劫魏营,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=92x110; XLS field=429x512; aspect_ratio_delta=0.0015269850000000362; network-expanded same hash=yes.",92,110,429,512,no,0.83636364,0.837890625,0.0015269850000000362,yes_within_0.01,6321ffa1a965268ee54eaf63ac72dffe5b85d00f3bbd65f55636c776deffe9d7
039,opera-04-039-s.jpg,unknown,,,,039,周泰,连营寨,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=85x110; XLS field=423x512; aspect_ratio_delta=0.053444605000000034; network-expanded same hash=yes.",85,110,423,512,no,0.77272727,0.826171875,0.053444605000000034,no,95a20c97f6b07b26ce8f419d4d2226ad8950fd8dc23c0a395ff6bac854da7593
040,opera-04-040-s.jpg,unknown,,,,040,周处,除三害,花三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=86x110; XLS field=401x512; aspect_ratio_delta=0.0013849449999999708; network-expanded same hash=yes.",86,110,401,512,no,0.78181818,0.783203125,0.0013849449999999708,yes_within_0.01,8d2204bc6c33012c79c2722f0849ecf3d52a5bbccd3ef4f08181b7a0271acffb
